competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Kit Kat,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.31299999,0.51099998,76.7686
Laffy Taffy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.22,0.116,41.389557
Lemonhead,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.046,0.104,39.141056
Lifesavers big ring gummies,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.26699999,0.27900001,52.911392
Peanut butter M&M's,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.82499999,0.65100002,71.46505
M&M's,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.82499999,0.65100002,66.574585
Mike & Ike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.87199998,0.32499999,46.411716
Milk Duds,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.30199999,0.51099998,55.064072
Milky Way,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.60399997,0.65100002,73.099556
Milky Way Midnight,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.73199999,0.44100001,60.800701
Milky Way Simply Caramel,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.96499997,0.86000001,64.35334
Mounds,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.31299999,0.86000001,47.829754
Mr Good Bar,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.31299999,0.91799998,54.526451
Nerds,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.84799999,0.32499999,55.354046
Nestle Butterfinger,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.60399997,0.76700002,70.735641
Nestle Crunch,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.31299999,0.76700002,66.47068
Nik L Nip,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.197,0.97600001,22.445341
Now & Later,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.22,0.32499999,39.4468
Payday,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.465,0.76700002,46.296597
Peanut M&Ms,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.59299999,0.65100002,69.483788
Pixie Sticks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.093000002,0.023,37.722336
Pop Rocks,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.60399997,0.83700001,41.265511
Red vines,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.58099997,0.116,37.348522
Reese's Miniatures,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.034000002,0.27900001,81.866257
Reese's Peanut Butter cup,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.72000003,0.65100002,84.18029
Reese's pieces,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.40599999,0.65100002,73.43499
Reese's stuffed with pieces,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.98799998,0.65100002,72.887901
Ring pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.73199999,0.96499997,35.290756
Rolo,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.86000001,0.86000001,65.716286
Root Beer Barrels,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.73199999,0.068999998,29.703691
Runts,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.87199998,0.27900001,42.849144
Sixlets,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.22,0.081,34.722
Skittles original,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.94099998,0.22,63.08514
Skittles wildberry,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.94099998,0.22,55.103695
Nestle Smarties,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.26699999,0.97600001,37.887188
Smarties candy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.26699999,0.116,45.995827
Snickers,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.546,0.65100002,76.673782
Snickers Crisper,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.60399997,0.65100002,59.529251
Sour Patch Kids,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.068999998,0.116,59.863998
Sour Patch Tricksters,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.068999998,0.116,52.825947
Starburst,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.15099999,0.22,67.037628
Strawberry bon bons,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.56900001,0.057999998,34.578991
Sugar Babies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.96499997,0.76700002,33.43755
Sugar Daddy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.41800001,0.32499999,32.230995
Super Bubble,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.162,0.116,27.303865
Swedish Fish,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.60399997,0.755,54.861111
Tootsie Pop,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.60399997,0.32499999,48.982651
Tootsie Roll Juniors,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.31299999,0.51099998,43.068897
Tootsie Roll Midgies,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.17399999,0.011,45.736748
Tootsie Roll Snack Bars,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.465,0.32499999,49.653503
Trolli Sour Bites,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.31299999,0.255,47.173229
Twix,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.546,0.90600002,81.642914
Twizzlers,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.22,0.116,45.466282
Warheads,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.093000002,0.116,39.011898
Welch's Fruit Snacks,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.31299999,0.31299999,44.375519
Werther's Original Caramel,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.186,0.26699999,41.904308
Whoppers,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.87199998,0.84799999,49.524113
