year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,6,20,1328,1329,-1,1454,1509,-15,EV,4628,N11536,EWR,STL,127,872,13,29,2013-06-20T17:00:00Z
2013,8,14,659,700,-1,934,930,4,DL,1547,N6713Y,LGA,ATL,114,762,7,0,2013-08-14T11:00:00Z
2013,5,28,1619,1629,-10,1907,1927,-20,B6,985,N597JB,LGA,TPA,137,1010,16,29,2013-05-28T20:00:00Z
2013,9,7,826,836,-10,926,944,-18,B6,2280,N317JB,EWR,BOS,45,200,8,36,2013-09-07T12:00:00Z
2013,9,23,831,835,-4,942,1001,-19,9E,3492,N902XJ,JFK,DCA,40,213,8,35,2013-09-23T12:00:00Z
2013,7,19,NA,1955,NA,NA,2217,NA,EV,5395,N730EV,LGA,TVC,NA,655,19,55,2013-07-19T23:00:00Z
2013,9,23,1159,1204,-5,1408,1423,-15,UA,998,N423UA,EWR,PHX,285,2133,12,4,2013-09-23T16:00:00Z
2013,8,21,1726,1731,-5,1837,1849,-12,B6,2580,N231JB,EWR,BOS,42,200,17,31,2013-08-21T21:00:00Z
2013,5,27,2246,2245,1,2345,1,-16,B6,30,N354JB,JFK,ROC,46,264,22,45,2013-05-28T02:00:00Z
2013,8,7,2035,2036,-1,2254,2205,49,B6,686,N374JB,JFK,ROC,50,264,20,36,2013-08-08T00:00:00Z
2013,7,2,1539,1529,10,1835,1821,14,B6,573,N583JB,EWR,TPA,155,997,15,29,2013-07-02T19:00:00Z
2013,3,29,1849,1900,-11,2115,2131,-16,DL,947,N676DL,LGA,ATL,106,762,19,0,2013-03-29T23:00:00Z
2013,7,28,1850,1826,24,2145,2018,87,UA,253,N812UA,EWR,ORD,121,719,18,26,2013-07-28T22:00:00Z
2013,1,2,1500,1430,30,1741,1743,-2,UA,1552,N78285,EWR,SEA,324,2402,14,30,2013-01-02T19:00:00Z
2013,9,8,1352,1359,-7,1537,1605,-28,B6,1373,N368JB,JFK,CHS,86,636,13,59,2013-09-08T17:00:00Z
2013,12,6,923,925,-2,1310,1305,5,WN,2166,N770SA,EWR,AUS,244,1504,9,25,2013-12-06T14:00:00Z
2013,4,25,1442,1445,-3,1656,1625,31,AA,2223,N201AA,LGA,STL,143,888,14,45,2013-04-25T18:00:00Z
2013,7,13,1155,1200,-5,1351,1351,0,US,1181,N747UW,JFK,CLT,91,541,12,0,2013-07-13T16:00:00Z
2013,6,9,1812,1750,22,2125,2045,40,UA,379,N815UA,EWR,SAN,332,2425,17,50,2013-06-09T21:00:00Z
2013,8,2,1056,950,66,1328,1220,68,VX,251,N849VA,JFK,LAS,304,2248,9,50,2013-08-02T13:00:00Z
2013,12,7,1002,1000,2,1303,1312,-9,UA,1257,N35260,LGA,IAH,218,1416,10,0,2013-12-07T15:00:00Z
2013,12,8,NA,1459,NA,NA,1635,NA,9E,2913,NA,JFK,DCA,NA,213,14,59,2013-12-08T19:00:00Z
2013,11,8,1802,1800,2,1951,2002,-11,EV,4382,N36915,EWR,DTW,90,488,18,0,2013-11-08T23:00:00Z
2013,6,26,1247,1238,9,1427,1428,-1,EV,5796,N16918,EWR,CLT,77,529,12,38,2013-06-26T16:00:00Z
2013,7,6,818,821,-3,947,1017,-30,EV,3825,N22971,EWR,CMH,72,463,8,21,2013-07-06T12:00:00Z
2013,1,16,1151,1155,-4,1509,1459,10,B6,625,N187JB,JFK,HOU,242,1428,11,55,2013-01-16T16:00:00Z
2013,5,27,1734,1729,5,1938,1939,-1,EV,5678,N15983,EWR,CVG,91,569,17,29,2013-05-27T21:00:00Z
2013,5,19,602,600,2,706,711,-5,EV,5716,N826AS,JFK,IAD,46,228,6,0,2013-05-19T10:00:00Z
2013,10,8,1339,1310,29,1550,1526,24,EV,5283,N612QX,LGA,CVG,85,585,13,10,2013-10-08T17:00:00Z
2013,2,23,1104,1041,23,1324,1254,30,EV,4200,N16911,EWR,IND,118,645,10,41,2013-02-23T15:00:00Z
2013,10,17,642,648,-6,901,913,-12,UA,511,N539UA,EWR,LAS,299,2227,6,48,2013-10-17T10:00:00Z
2013,9,22,1707,1651,16,2018,1957,21,B6,89,N608JB,JFK,SAN,319,2446,16,51,2013-09-22T20:00:00Z
2013,3,1,1330,1335,-5,1902,1936,-34,UA,15,N76065,EWR,HNL,610,4963,13,35,2013-03-01T18:00:00Z
2013,4,17,2147,1800,227,2318,1944,214,UA,463,N801UA,EWR,ORD,113,719,18,0,2013-04-17T22:00:00Z
2013,6,9,1815,1808,7,1945,1933,12,UA,646,N429UA,EWR,BOS,41,200,18,8,2013-06-09T22:00:00Z
2013,10,4,1525,1535,-10,1657,1727,-30,UA,494,N813UA,LGA,CLE,68,419,15,35,2013-10-04T19:00:00Z
2013,6,9,1924,1925,-1,2127,2129,-2,9E,3525,N931XJ,JFK,ORD,113,740,19,25,2013-06-09T23:00:00Z
2013,11,12,1533,1520,13,1748,1721,27,EV,4326,N14904,EWR,CLT,107,529,15,20,2013-11-12T20:00:00Z
2013,2,7,2008,2000,8,2209,2224,-15,9E,3439,N602LR,JFK,CVG,95,589,20,0,2013-02-08T01:00:00Z
2013,1,24,600,600,0,728,730,-2,WN,3223,N8305E,LGA,MDW,121,725,6,0,2013-01-24T11:00:00Z
2013,2,4,1642,1635,7,1927,1907,20,EV,4705,N15572,EWR,ATL,134,746,16,35,2013-02-04T21:00:00Z
2013,2,4,1543,1548,-5,1820,1830,-10,DL,95,N3753,JFK,ATL,130,760,15,48,2013-02-04T20:00:00Z
2013,10,23,549,600,-11,900,858,2,B6,371,N585JB,LGA,FLL,169,1076,6,0,2013-10-23T10:00:00Z
2013,6,14,1716,1654,22,2042,2015,27,UA,1284,N39450,EWR,SFO,334,2565,16,54,2013-06-14T20:00:00Z
2013,7,29,653,700,-7,755,806,-11,US,2116,N955UW,LGA,BOS,33,184,7,0,2013-07-29T11:00:00Z
2013,1,17,1654,1635,19,1901,1841,20,B6,1085,N334JB,JFK,CLT,107,541,16,35,2013-01-17T21:00:00Z
2013,12,13,945,950,-5,1120,1115,5,WN,218,N786SW,LGA,MKE,134,738,9,50,2013-12-13T14:00:00Z
2013,8,5,2017,2030,-13,2234,2245,-11,9E,4033,N8977A,LGA,TYS,92,647,20,30,2013-08-06T00:00:00Z
2013,11,28,831,830,1,1117,1100,17,F9,509,N209FR,LGA,DEN,233,1620,8,30,2013-11-28T13:00:00Z
2013,9,16,1352,1359,-7,1646,1703,-17,B6,213,N507JB,JFK,LGB,327,2465,13,59,2013-09-16T17:00:00Z
2013,4,12,838,830,8,1137,1203,-26,UA,1281,N36447,EWR,SFO,333,2565,8,30,2013-04-12T12:00:00Z
2013,6,28,1632,1559,33,1946,1925,21,DL,1373,N968DL,JFK,MIA,148,1089,15,59,2013-06-28T19:00:00Z
2013,3,2,2151,2155,-4,52,48,4,B6,515,N231JB,EWR,FLL,167,1065,21,55,2013-03-03T02:00:00Z
2013,1,25,1256,1259,-3,1550,1556,-6,B6,991,N258JB,JFK,PBI,154,1028,12,59,2013-01-25T17:00:00Z
2013,6,20,1235,1235,0,1423,1430,-7,EV,4118,N13969,EWR,DTW,85,488,12,35,2013-06-20T16:00:00Z
2013,6,16,656,700,-4,1001,1003,-2,DL,763,N198DN,JFK,LAX,323,2475,7,0,2013-06-16T11:00:00Z
2013,10,15,1825,1830,-5,2105,2112,-7,B6,711,N588JB,JFK,LAS,304,2248,18,30,2013-10-15T22:00:00Z
2013,5,19,859,900,-1,1207,1150,17,UA,339,N563UA,EWR,SEA,304,2402,9,0,2013-05-19T13:00:00Z
2013,5,10,640,624,16,838,827,11,EV,4471,N27200,EWR,CLT,76,529,6,24,2013-05-10T10:00:00Z
2013,2,8,NA,1150,NA,NA,1345,NA,MQ,4646,N506MQ,LGA,MSP,NA,1020,11,50,2013-02-08T16:00:00Z
2013,7,28,626,630,-4,902,847,15,B6,211,N659JB,JFK,LAS,303,2248,6,30,2013-07-28T10:00:00Z
2013,4,19,1455,1459,-4,1708,1720,-12,EV,5276,N753EV,LGA,CHS,97,641,14,59,2013-04-19T18:00:00Z
2013,4,19,1438,1300,98,1545,1410,95,US,2175,N758US,LGA,DCA,48,214,13,0,2013-04-19T17:00:00Z
2013,6,16,1919,1919,0,2234,2220,14,B6,155,N509JB,JFK,MCO,129,944,19,19,2013-06-16T23:00:00Z
2013,7,30,1400,1400,0,1449,1508,-19,US,2130,N951UW,LGA,BOS,34,184,14,0,2013-07-30T18:00:00Z
2013,9,28,1044,1045,-1,1355,1352,3,B6,971,N537JB,LGA,FLL,131,1076,10,45,2013-09-28T14:00:00Z
2013,4,9,729,730,-1,1055,1131,-36,B6,215,N659JB,EWR,SJU,189,1608,7,30,2013-04-09T11:00:00Z
2013,5,5,1404,1411,-7,1502,1519,-17,EV,3841,N13975,EWR,MHT,40,209,14,11,2013-05-05T18:00:00Z
2013,5,22,1022,1029,-7,1313,1335,-22,UA,1183,N24715,EWR,RSW,144,1068,10,29,2013-05-22T14:00:00Z
2013,3,6,NA,1345,NA,NA,1453,NA,9E,3638,NA,JFK,PHL,NA,94,13,45,2013-03-06T18:00:00Z
2013,10,28,2357,2359,-2,349,337,12,B6,839,N504JB,JFK,BQN,208,1576,23,59,2013-10-29T03:00:00Z
2013,3,7,NA,1315,NA,NA,1520,NA,MQ,4564,N723MQ,LGA,DTW,NA,502,13,15,2013-03-07T18:00:00Z
2013,4,18,1935,1535,240,2100,1655,245,WN,1153,N400WN,EWR,MDW,104,711,15,35,2013-04-18T19:00:00Z
2013,9,20,627,630,-3,739,753,-14,B6,905,N568JB,JFK,ORD,108,740,6,30,2013-09-20T10:00:00Z
2013,3,15,1608,1610,-2,1735,1744,-9,9E,3354,N905XJ,JFK,BOS,37,187,16,10,2013-03-15T20:00:00Z
2013,5,5,621,629,-8,808,825,-17,US,1613,N124US,EWR,CLT,90,529,6,29,2013-05-05T10:00:00Z
2013,12,4,1707,1710,-3,1904,1911,-7,B6,1119,N238JB,JFK,CLT,82,541,17,10,2013-12-04T22:00:00Z
2013,12,28,1005,1000,5,1242,1245,-3,B6,411,N828JB,JFK,LAS,319,2248,10,0,2013-12-28T15:00:00Z
2013,9,17,1714,1700,14,1951,1937,14,DL,1499,N984DL,LGA,ATL,112,762,17,0,2013-09-17T21:00:00Z
2013,3,27,654,700,-6,747,807,-20,US,2116,N948UW,LGA,BOS,35,184,7,0,2013-03-27T11:00:00Z
2013,2,7,1330,1322,8,1622,1623,-1,B6,431,N505JB,LGA,SRQ,158,1047,13,22,2013-02-07T18:00:00Z
2013,9,16,828,830,-2,957,1009,-12,9E,3521,N905XJ,JFK,ORD,120,740,8,30,2013-09-16T12:00:00Z
2013,12,24,1001,1000,1,1304,1300,4,UA,478,N418UA,EWR,MCO,158,937,10,0,2013-12-24T15:00:00Z
2013,11,1,1338,1226,72,1533,1418,75,EV,4640,N13994,EWR,DAY,93,533,12,26,2013-11-01T16:00:00Z
2013,6,30,1309,1315,-6,1526,1505,21,US,1014,N125UW,EWR,CLT,90,529,13,15,2013-06-30T17:00:00Z
2013,2,26,1932,1940,-8,2128,2149,-21,EV,3809,N14542,EWR,TYS,100,631,19,40,2013-02-27T00:00:00Z
2013,4,29,1618,1610,8,1739,1744,-5,9E,3359,N919XJ,JFK,BOS,42,187,16,10,2013-04-29T20:00:00Z
2013,12,31,1733,1730,3,2101,2046,15,B6,359,N524JB,JFK,BUR,366,2465,17,30,2013-12-31T22:00:00Z
2013,10,5,851,900,-9,953,1025,-32,US,2173,N963UW,LGA,DCA,42,214,9,0,2013-10-05T13:00:00Z
2013,3,9,2222,2150,32,56,42,14,B6,325,N715JB,JFK,TPA,130,1005,21,50,2013-03-10T02:00:00Z
2013,2,1,830,645,105,942,757,105,EV,4241,N11140,EWR,DCA,54,199,6,45,2013-02-01T11:00:00Z
2013,8,24,1601,1555,6,1725,1734,-9,9E,3459,N600LR,JFK,BNA,103,765,15,55,2013-08-24T19:00:00Z
2013,11,19,NA,1300,NA,NA,1410,NA,US,2148,NA,LGA,BOS,NA,184,13,0,2013-11-19T18:00:00Z
2013,8,1,2218,2155,23,2357,2329,28,EV,3267,N12996,EWR,ORF,62,284,21,55,2013-08-02T01:00:00Z
2013,5,2,1013,800,133,1135,1001,94,DL,2245,N338NB,EWR,MSP,130,1008,8,0,2013-05-02T12:00:00Z
2013,3,9,809,630,99,943,831,72,US,1539,N537UW,EWR,CLT,77,529,6,30,2013-03-09T11:00:00Z
2013,1,9,653,655,-2,1031,1029,2,DL,1415,N658DL,JFK,SLC,296,1990,6,55,2013-01-09T11:00:00Z
2013,6,24,759,805,-6,931,950,-19,9E,3611,N8800G,JFK,PIT,65,340,8,5,2013-06-24T12:00:00Z
2013,1,18,1754,1755,-1,2119,2053,26,B6,391,N595JB,LGA,MCO,144,950,17,55,2013-01-18T22:00:00Z
2013,12,13,1727,1729,-2,2039,2115,-36,VX,193,N621VA,EWR,SFO,352,2565,17,29,2013-12-13T22:00:00Z
2013,1,1,2008,2015,-7,2206,2210,-4,MQ,4555,N734MQ,LGA,CMH,91,479,20,15,2013-01-02T01:00:00Z
2013,10,19,1452,1455,-3,1601,1613,-12,DL,1164,N316US,JFK,BOS,38,187,14,55,2013-10-19T18:00:00Z
2013,4,3,1846,1830,16,2009,2010,-1,MQ,4674,N502MQ,LGA,CLE,69,419,18,30,2013-04-03T22:00:00Z
2013,9,15,1450,1455,-5,1731,1750,-19,AA,2285,N5FLAA,JFK,MCO,126,944,14,55,2013-09-15T18:00:00Z
2013,11,3,1957,2000,-3,2230,2315,-45,DL,2065,N393DA,JFK,FLL,136,1069,20,0,2013-11-04T01:00:00Z
2013,11,22,1940,1930,10,2205,2204,1,DL,2142,N333NW,EWR,ATL,111,746,19,30,2013-11-23T00:00:00Z
2013,11,6,1923,1925,-2,2358,39,-41,DL,347,N3750D,JFK,SJU,183,1598,19,25,2013-11-07T00:00:00Z
2013,7,17,1152,1155,-3,1454,1455,-1,AA,2147,N3BXAA,EWR,MIA,147,1085,11,55,2013-07-17T15:00:00Z
2013,4,10,1841,1829,12,NA,2040,NA,9E,4059,N8444F,LGA,DAY,NA,549,18,29,2013-04-10T22:00:00Z
2013,11,24,2216,1954,142,10,2200,130,EV,4370,N14902,EWR,CHS,93,628,19,54,2013-11-25T00:00:00Z
2013,2,1,725,730,-5,941,1004,-23,DL,807,N324NB,EWR,ATL,120,746,7,30,2013-02-01T12:00:00Z
2013,7,17,NA,1500,NA,NA,1647,NA,UA,685,NA,LGA,ORD,NA,733,15,0,2013-07-17T19:00:00Z
2013,8,24,1603,1545,18,2011,2001,10,DL,4,N3748Y,JFK,SJU,212,1598,15,45,2013-08-24T19:00:00Z
2013,4,12,1832,1830,2,1939,1940,-1,MQ,3944,N617MQ,JFK,BWI,42,184,18,30,2013-04-12T22:00:00Z
2013,12,27,2031,2040,-9,2152,2220,-28,MQ,3257,N856MQ,LGA,RDU,67,431,20,40,2013-12-28T01:00:00Z
2013,7,19,2002,1915,47,2308,2205,63,AA,791,N3HJAA,LGA,DFW,177,1389,19,15,2013-07-19T23:00:00Z
2013,5,6,840,840,0,947,1012,-25,9E,3300,N918XJ,JFK,DCA,41,213,8,40,2013-05-06T12:00:00Z
2013,2,14,708,710,-2,1144,1204,-20,B6,715,N562JB,JFK,SJU,195,1598,7,10,2013-02-14T12:00:00Z
2013,11,6,846,855,-9,1336,1345,-9,DL,301,N721TW,JFK,SJU,182,1598,8,55,2013-11-06T13:00:00Z
2013,9,20,1951,1947,4,2214,2250,-36,B6,201,N659JB,JFK,FLL,124,1069,19,47,2013-09-20T23:00:00Z
2013,4,15,1023,1030,-7,1158,1210,-12,AA,321,N436AA,LGA,ORD,118,733,10,30,2013-04-15T14:00:00Z
2013,12,14,601,600,1,841,830,11,WN,858,N7734H,LGA,ATL,134,762,6,0,2013-12-14T11:00:00Z
2013,12,2,2026,2015,11,2354,2354,0,DL,427,N156DL,JFK,LAX,348,2475,20,15,2013-12-03T01:00:00Z
2013,4,17,1737,1740,-3,2011,2036,-25,B6,9,N588JB,JFK,MCO,132,944,17,40,2013-04-17T21:00:00Z
2013,7,22,1701,1705,-4,2028,1845,103,B6,1516,N267JB,JFK,SYR,61,209,17,5,2013-07-22T21:00:00Z
2013,2,11,2305,2129,96,3,2224,99,EV,4619,N11565,EWR,PHL,39,80,21,29,2013-02-12T02:00:00Z
2013,1,14,800,800,0,905,908,-3,US,2118,N956UW,LGA,BOS,40,184,8,0,2013-01-14T13:00:00Z
2013,12,2,1455,1500,-5,1802,1803,-1,DL,1935,N358NB,LGA,TPA,142,1010,15,0,2013-12-02T20:00:00Z
2013,4,5,1911,1915,-4,2104,2110,-6,9E,3525,N907XJ,JFK,ORD,127,740,19,15,2013-04-05T23:00:00Z
2013,12,17,1344,1345,-1,1634,1553,41,US,1802,N701UW,JFK,CLT,95,541,13,45,2013-12-17T18:00:00Z
2013,1,24,1010,1016,-6,1225,1230,-5,DL,2319,N904DL,LGA,MSP,164,1020,10,16,2013-01-24T15:00:00Z
2013,8,30,652,700,-8,938,1023,-45,UA,347,N588UA,JFK,SFO,323,2586,7,0,2013-08-30T11:00:00Z
2013,1,19,1447,1500,-13,1626,1655,-29,MQ,4429,N719MQ,LGA,CMH,79,479,15,0,2013-01-19T20:00:00Z
2013,2,2,1549,1555,-6,1748,1814,-26,DL,1771,N374DA,JFK,DTW,88,509,15,55,2013-02-02T20:00:00Z
2013,4,20,1912,1855,17,2100,2056,4,US,1491,N119US,LGA,CLT,93,544,18,55,2013-04-20T22:00:00Z
2013,6,21,1515,1459,16,1633,1633,0,UA,253,N493UA,EWR,ORD,120,719,14,59,2013-06-21T18:00:00Z
2013,8,19,1048,1055,-7,1438,1445,-7,B6,403,N644JB,JFK,SJU,200,1598,10,55,2013-08-19T14:00:00Z
2013,2,17,1504,1510,-6,1638,1655,-17,MQ,4447,N734MQ,LGA,RDU,66,431,15,10,2013-02-17T20:00:00Z
2013,9,30,1313,1315,-2,1451,1505,-14,US,2095,N108UW,EWR,CLT,75,529,13,15,2013-09-30T17:00:00Z
2013,2,22,1135,1115,20,1355,1310,45,MQ,4485,N734MQ,LGA,CMH,96,479,11,15,2013-02-22T16:00:00Z
2013,12,18,557,600,-3,751,755,-4,DL,731,N333NB,LGA,DTW,84,502,6,0,2013-12-18T11:00:00Z
2013,11,11,1045,1050,-5,1246,1259,-13,EV,3852,N16571,EWR,DTW,98,488,10,50,2013-11-11T15:00:00Z
2013,3,31,1958,2000,-2,2305,2305,0,B6,39,N768JB,JFK,PBI,147,1028,20,0,2013-04-01T00:00:00Z
2013,5,17,1831,1805,26,2134,2107,27,UA,1523,N13716,EWR,DFW,189,1372,18,5,2013-05-17T22:00:00Z
2013,12,14,614,615,-1,846,852,-6,DL,479,N3735D,JFK,ATL,131,760,6,15,2013-12-14T11:00:00Z
2013,12,29,NA,2122,NA,NA,2322,NA,EV,4106,N11539,EWR,GSP,NA,594,21,22,2013-12-30T02:00:00Z
2013,8,10,1314,1300,14,1542,1540,2,AA,1033,N587AA,EWR,DFW,188,1372,13,0,2013-08-10T17:00:00Z
2013,4,7,1320,1325,-5,1813,1826,-13,UA,15,N76062,EWR,HNL,630,4963,13,25,2013-04-07T17:00:00Z
2013,12,19,2023,2030,-7,2323,2340,-17,UA,455,N441UA,EWR,MIA,146,1085,20,30,2013-12-20T01:00:00Z
2013,6,20,1256,1300,-4,NA,1552,NA,UA,636,N497UA,LGA,IAH,NA,1416,13,0,2013-06-20T17:00:00Z
2013,4,11,1642,1545,57,1851,1745,66,MQ,4146,N640MQ,JFK,CMH,79,483,15,45,2013-04-11T19:00:00Z
2013,7,7,856,859,-3,1003,1020,-17,EV,4240,N11548,EWR,BUF,51,282,8,59,2013-07-07T12:00:00Z
2013,2,19,947,855,52,1316,1214,62,B6,1061,N284JB,JFK,AUS,239,1521,8,55,2013-02-19T13:00:00Z
2013,6,2,1918,1729,109,2059,1921,98,EV,3853,N16559,EWR,CMH,73,463,17,29,2013-06-02T21:00:00Z
2013,4,27,2240,2245,-5,2342,1,-19,B6,608,N353JB,JFK,PWM,47,273,22,45,2013-04-28T02:00:00Z
2013,8,8,1913,1748,85,2153,2035,78,B6,299,N630JB,LGA,MCO,120,950,17,48,2013-08-08T21:00:00Z
2013,3,25,NA,2129,NA,NA,2231,NA,EV,4350,N18556,EWR,DCA,NA,199,21,29,2013-03-26T01:00:00Z
2013,11,19,1629,1557,32,1934,1927,7,DL,467,N721TW,JFK,SLC,275,1990,15,57,2013-11-19T20:00:00Z
2013,7,10,1458,1430,28,1831,1754,37,UA,1146,N78501,EWR,SFO,364,2565,14,30,2013-07-10T18:00:00Z
2013,2,4,759,800,-1,955,1002,-7,B6,219,N324JB,JFK,CLT,91,541,8,0,2013-02-04T13:00:00Z
2013,3,12,1837,1630,127,2036,1847,109,DL,2231,N958DL,LGA,DTW,88,502,16,30,2013-03-12T20:00:00Z
2013,1,2,850,804,46,1112,1007,65,EV,4537,N11547,EWR,MEM,178,946,8,4,2013-01-02T13:00:00Z
2013,4,9,925,925,0,1104,1110,-6,AA,1855,N4XEAA,LGA,STL,131,888,9,25,2013-04-09T13:00:00Z
2013,10,28,855,900,-5,1159,1210,-11,B6,189,N796JB,JFK,SAN,349,2446,9,0,2013-10-28T13:00:00Z
